1,0
2,1
3,1
4,1
5,3
6,48
7,54
8,55
9,56
10,70
11,81
12,88
13,98
14,115
15,131
16,135
17,136
18,139
19,149
20,163
21,165
22,200
23,208
24,209
25,238
26,243
27,258
28,261
29,266
30,272
31,274
32,296
33,313
34,325
35,330
36,331
37,354
38,377
39,401
40,408
41,414
42,427
43,436
44,445
45,450
46,453
47,461
48,478
49,539
50,550
51,564
52,588
53,593
54,616
55,630
56,641
57,738
58,745
59,749
60,813
61,881
62,900
63,905
64,948
65,961
66,970
67,989
68,1021
69,1048
70,1070
71,1090
72,1130
73,1160
74,1327
75,1450
76,1516
77,1869
78,1884
79,1908
80,2058
81,2419
82,2858
83,3009
84,3330
85,3401
86,3586
87,3593
88,4552
89,5077
90,6678
91,13709
92,19640
