1, 1
2, 20
3, 40
4, 48
5, 51
6, 55
7, 68
8, 76
9, 85
10, 94
11, 108
12, 122
13, 127
14, 135
15, 139
16, 146
17, 155
18, 167
19, 191
20, 195
21, 205
22, 210
23, 225
24, 238
25, 253
26, 256
27, 261
28, 266
29, 266
30, 267
31, 283
32, 287
33, 290
34, 311
35, 320
36, 322
37, 323
38, 325
39, 339
40, 341
41, 348
42, 356
43, 357
44, 360
45, 361
46, 383
47, 389
48, 393
49, 395
50, 397
51, 431
52, 434
53, 450
54, 451
55, 457
56, 467
57, 474
58, 482
59, 486
60, 495
61, 510
62, 536
63, 537
64, 561
65, 571
66, 577
67, 579
68, 591
69, 595
70, 627
71, 633
72, 635
73, 643
74, 654
75, 693
76, 705
77, 707
78, 708
79, 748
80, 758
81, 776
82, 821
83, 827
84, 851
85, 907
86, 916
87, 949
88, 984
89, 993
90, 1145
91, 1250
92, 1427
93, 1446
94, 1559
95, 1757
96, 1931
97, 2143
98, 3955
