1,1
2,1
3,1
4,8
5,14
6,15
7,15
8,22
9,29
10,32
11,34
12,37
13,38
14,39
15,39
16,40
17,50
18,51
19,51
20,54
21,54
22,56
23,61
24,61
25,65
26,70
27,76
28,78
29,81
30,83
31,83
32,84
33,84
34,85
35,87
36,87
37,88
38,94
39,95
40,99
41,100
42,113
43,121
44,125
45,128
46,132
47,132
48,135
49,136
50,138
51,139
52,139
53,140
54,141
55,163
56,165
57,165
58,168
59,168
60,172
61,178
62,180
63,192
64,199
65,200
66,200
67,208
68,209
69,233
70,238
71,243
72,243
73,251
74,261
75,263
76,264
77,272
78,273
79,274
80,275
81,278
82,296
83,312
84,313
85,324
86,329
87,330
88,331
89,334
90,337
91,351
92,354
93,358
94,363
95,367
96,377
97,395
98,401
99,409
100,412
101,414
102,427
103,429
104,434
105,436
106,440
107,445
108,449
109,450
110,452
111,461
112,468
113,472
114,474
115,478
116,489
117,503
118,512
119,517
120,530
121,538
122,539
123,540
124,552
125,556
126,560
127,564
128,577
129,588
130,595
131,616
132,622
133,630
134,641
135,646
136,652
137,662
138,674
139,718
140,724
141,726
142,749
143,764
144,808
145,813
146,839
147,840
148,881
149,900
150,935
151,953
152,965
153,970
154,979
155,989
156,1021
157,1037
158,1038
159,1041
160,1063
161,1070
162,1081
163,1105
164,1130
165,1144
166,1149
167,1152
168,1156
169,1157
170,1160
171,1167
172,1170
173,1177
174,1315
175,1316
176,1323
177,1327
178,1333
179,1339
180,1355
181,1360
182,1413
183,1450
184,1450
185,1485
186,1486
187,1502
188,1516
189,1533
190,1573
191,1590
192,1613
193,1649
194,1709
195,1760
196,1869
197,1884
198,1884
199,1897
200,1908
201,1962
202,1971
203,2005
204,2058
205,2074
206,2203
207,2250
208,2310
209,2400
210,2419
211,2446
212,2534
213,2566
214,3009
215,3094
216,3118
217,3263
218,3265
219,3330
220,3346
221,3358
222,3459
223,3555
224,3565
225,3586
226,3593
227,3652
228,3848
229,3988
230,4004
231,4009
232,4118
233,4248
234,4251
235,4552
236,4657
237,4687
238,4949
239,4959
240,4976
241,4977
242,4995
243,4998
244,4999
245,4999
246,5077
247,6678
248,10343
249,22022
250,49535
